Hey,START
Hey man,START
Hi,START
How’s it going?,START 
How are you doing?,START
What’s up?,START
What’s new?,START 
What’s going on?,START
How’s everything?,START
How are things?,START
How’s life?,START
How’s your day?,START
How’s your day going?,START
Good to see you,START 
Nice to see you,START
Long time no see,START
It’s been a while,START
Good morning,START
Good afternoon,START 
Good evening,START
It’s nice to meet you,START 
Pleased to meet you,START
How have you been?,START
How do you do?,START
Yo!,START
Are you OK?,START
You alright?,START
Alright mate?,START
Howdy!,START
Sup?,START
Whazzup?,START
G’day mate!,START
Hiya!,START

bye,END
Bye bye!,END
See you later,END
See you soon,END
Talk to you later,END
I’ve got to get going,END
I must be going,END
Have a nice day,END
I’m off,END
Goodbye,END
Have a nice day,END 
I look forward to our next meeting,END
Take care,END
It was nice to see you again,END
It was nice seeing you,END
Good night,END
Later,END
Laters,END
Catch you later,END
Peace,END
Peace out,END
